key,transcript,prediction
0,"Heading is one five zero, target is green commercial aircraft, tool to deploy is electromagnetic pulse.","Heading is one five zero, target is green commercial aircraft, tool to deploy is electromagnetic pulse."
1,"Heading is two six zero, target is black, white, and yellow commercial aircraft, tool to deploy is surface-to-air missiles.","Heading is two six zero, target is black, white, and yellow commercial aircraft, tool to deploy is surface-to-air missiles."
2,"Heading is one zero five, target is silver, green, and yellow light aircraft, tool to deploy is anti-air artillery.","Heading is one zero five, target is silver, green, and yellow light aircraft, tool to deploy is anti-air artillery."
3,"Heading is two niner zero, target is brown and blue cargo aircraft, tool to deploy is electromagnetic pulse.","Heading is two niner zero, target is brown and blue cargo aircraft, tool to deploy is electromagnetic pulse."
4,"Heading is zero one five, target is yellow camouflage drone, tool to deploy is EMP.","Heading is zero one five, target is yellow camouflage drone, tool to deploy is EMP."
5,"Heading is two seven five, target is purple, orange, and blue cargo aircraft, tool to deploy is interceptor jets.","Heading is two seven five, target is purple, orange, and blue cargo aircraft, tool to deploy is interceptor jets."
6,"Heading is one seven five, target is black, blue, and grey fighter jet, tool to deploy is machine gun.","Heading is one seven five, target is black, blue, and grey fighter jet, tool to deploy is machine gun."
7,"Heading is three two zero, target is purple and brown cargo aircraft, tool to deploy is surface-to-air missiles.","Heading is three two zero, target is purple and brown cargo aircraft, tool to deploy is surface-to-air missiles."
8,"Heading is one zero zero, target is blue, brown, and grey commercial aircraft, tool to deploy is electromagnetic pulse.","Heading is one zero zero, target is blue, brown, and grey commercial aircraft, tool to deploy is electromagnetic pulse."
9,"Heading is one three zero, target is orange and grey missile, tool to deploy is machine gun.","Heading is one three zero, target is orange and grey missile, tool to deploy is machine gun."
10,"Heading is one five five, target is silver, red, and green helicopter, tool to deploy is machine gun.","Heading is one five five, target is silver, red, and green helicopter, tool to deploy is machine gun."
11,"Heading is two four five, target is blue, black, and white missile, tool to deploy is machine gun.","Heading is two four five, target is blue, black, and white missile, tool to deploy is machine gun."
12,"Heading is zero niner five, target is red missile, tool to deploy is surface-to-air missiles.","Heading is zero niner five, target is red missile, tool to deploy is surface-to-air missiles."
13,"Heading is three three five, target is red missile, tool to deploy is EMP.","Heading is three three five, target is red missile, target deploy is EMP."
14,"Heading is two zero five, target is yellow and green fighter plane, tool to deploy is machine gun.","Heading is two zero five, target is yellow and green fighter plane, tool to deploy is machine gun."
15,"Heading is two zero zero, target is purple fighter plane, tool to deploy is anti-air artillery.","Heading is two zero zero, target is purple fighter plane, tool to deploy is anti-air artillery."
16,"Heading is two zero zero, target is brown, grey, and red cargo aircraft, tool to deploy is anti-air artillery.","Heading is two zero zero, target is brown, grey, and red cargo aircraft, tool to deploy is anti-air artillery."
17,"Heading is one eight zero, target is silver light aircraft, tool to deploy is surface-to-air missiles.","Heading is one eight zero, target is silver light aircraft, tool to deploy is surface-to-air missiles."
18,"Heading is one four zero, target is silver and yellow missile, tool to deploy is anti-air artillery.","Heading is one four zero, target is silver and yellow missile, tool to deploy is anti-air artillery."
19,"Heading is zero one five, target is black and blue fighter plane, tool to deploy is interceptor jets.","Heading is zero one five, target is black and blue fighter plane, tool to deploy is interceptor jets."
